weather_uuid,date,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_10m,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,soil_temperature_7_to_28cm,soil_moisture_7_to_28cm,wind_speed_100m,city
9f2d10fd-5e50-7581-efbd-50d87a49dd72,2023-01-02 04:00:00,7.4195,92.73297,6.3195,5.1926117,0.0,0.0,0.0,0.0,3,1019.7,1012.77515,86.0,0.0,44.0,79.0,0.0,0.07508981,8.913181,7.1194997,0.471,8.5195,0.48,20.929594,Washington D.C.
e0408802-dd93-fa0c-d581-460b35bb0a85,2023-01-02 05:00:00,5.3205,85.4123,3.0705,3.220882,0.0,0.0,0.0,0.0,3,1012.9,1001.5443,99.0,0.0,0.0,99.0,0.0,0.130454,3.4152596,8.1705,0.314,11.8705,0.257,5.771239,Los Angeles
45d78de1-384e-421a-2b8c-d731dadf3ccb,2023-01-02 05:00:00,7.3694997,92.73018,6.2695,5.191972,0.0,0.0,0.0,0.0,3,1020.0,1013.0718,80.0,0.0,17.0,77.0,0.0,0.07486278,8.4963045,7.0695,0.471,8.419499,0.479,20.929594,Washington D.C.
3051b390-0334-b01b-85ab-0090b2beca81,2023-01-02 06:00:00,5.5205,87.56855,3.6205,2.8117242,0.0,0.0,0.0,0.0,3,1013.2,1001.84906,100.0,0.0,1.0,100.0,0.0,0.11272472,8.311245,7.6705,0.314,11.6705,0.258,16.73516,Los Angeles
90ab542a-d187-655d-6102-60e4e0d2240f,2023-01-02 06:00:00,5.8694997,94.93183,5.1194997,3.52594,0.0,0.0,0.0,0.0,3,1020.3,1013.3326,100.0,0.0,26.0,100.0,0.0,0.04708016,7.8954163,6.7695,0.471,8.2695,0.479,13.551501,Washington D.C.
a5e27d6e-045d-f64a-2b4c-f14cc72ec6f0,2023-01-02 07:00:00,6.0205,92.33175,4.8705,3.8366737,0.0,0.0,0.0,0.0,3,1014.4,1003.05585,100.0,0.0,6.0,100.0,0.0,0.07198048,6.439876,7.5705,0.313,11.4205,0.258,17.106628,Los Angeles
d47677f6-dd15-e8a5-0ae7-3f0abf04c38e,2023-01-02 07:00:00,6.0695,91.055984,4.7194996,3.8630457,0.0,0.0,0.0,0.0,3,1020.5,1013.53625,98.0,0.0,25.0,100.0,0.0,0.084240675,6.379216,5.2194996,0.472,7.9195,0.48,10.799999,Washington D.C.
abddfcd9-e789-3d2b-8ec8-6d6c5539b994,2023-01-02 08:00:00,7.4205,85.34125,5.1205,5.2999687,0.0,0.0,0.0,0.0,3,1015.2,1003.9033,100.0,0.0,15.0,100.0,0.01796641,0.15148109,6.3690495,7.8205004,0.312,11.2205,0.258,13.75558,Los Angeles
f25a2416-2712-7ced-2dcf-e310d8d47d45,2023-01-02 08:00:00,5.7695,93.288445,4.7695,4.0804224,0.0,0.0,0.0,0.0,1,1020.9,1013.92633,22.0,0.0,13.0,11.0,0.007859677,0.06191683,2.9024127,5.2695,0.472,7.7194996,0.48,5.7599998,Washington D.C.
5fe7e49d-4e5e-2d41-9e5d-c5989ec9b42f,2023-01-02 09:00:00,10.0705,75.15905,5.8705,7.9186916,0.0,0.0,0.0,0.0,3,1015.9,1004.7005,100.0,2.0,61.0,100.0,0.072104365,0.30701715,7.7043357,8.9705,0.311,11.1205,0.258,15.463244,Los Angeles
